txn_id,amount,merchant,settle_date
TXN_000089,288.09,PVR Cinemas,2024-11-18
TXN_000090,220.13,MakeMyTrip,2024-11-17
TXN_000091,290.48,Café Coffee Day,2024-11-17
TXN_000092,300.05,MakeMyTrip,2024-11-18
TXN_000093,442.46,Netflix India,2024-11-16
TXN_000094,324.94,BookMyShow,2024-11-16
TXN_000095,52.94,Flipkart,2024-11-17
TXN_000096,308.64,BookMyShow,2024-11-18
TXN_000097,84.73,Uber,2024-11-18
TXN_000098,296.79,BookMyShow,2024-11-16
TXN_000099,261.15,Blue Tokai Coffee,2024-11-17
UNKNOWN_636755,405.4,BookMyShow,2024-11-18
TXN_000101,251.18,PVR Cinemas,2024-11-16
TXN_000102,328.15,DMart,2024-11-16
TXN_000103,277.68,Uber,2024-11-18
TXN_000104,265.24,PVR Cinemas,2024-11-17
TXN_000105,357.73,BookMyShow,2024-11-18
TXN_000106,232.95,DMart,2024-11-16
TXN_000107,25.29,Flipkart,2024-11-16
TXN_000108,353.98,Uber,2024-11-17
TXN_000109,321.53,MakeMyTrip,2024-11-17
TXN_000110,260.73,Blue Tokai Coffee,2024-11-17
TXN_000111,135.68,Amazon India,2024-11-17
TXN_000112,351.09,Blue Tokai Coffee,2024-11-16
TXN_000114,243.8,Indian Oil Petrol Pump,2024-11-17
TXN_000115,260.99,Flipkart,2024-11-17
TXN_000116,134.02,Indian Oil Petrol Pump,2024-11-17
TXN_000118,173.19,Flipkart,2024-11-18
TXN_000119,407.67,BookMyShow,2024-11-18
TXN_000120,256.75,DMart,2024-11-17
TXN_000121,137.18,Netflix India,2024-11-16
TXN_000122,472.64,Blue Tokai Coffee,2024-11-17
TXN_000123,374.04,BookMyShow,2024-11-17
UNKNOWN_739063,195.73,PVR Cinemas,2024-11-18
TXN_000125,271.01,DMart,2024-11-16
TXN_000126,329.53,Flipkart,2024-11-17
TXN_000127,420.73,Café Coffee Day,2024-11-17
TXN_000128,170.31,Uber,2024-11-16
TXN_000129,394.32,Uber,2024-11-18
TXN_000130,266.0,Amazon India,2024-11-18
UNKNOWN_809125,223.28,BookMyShow,2024-11-18
TXN_000132,415.26,Amazon India,2024-11-18
TXN_000133,438.37,Café Coffee Day,2024-11-16
TXN_000134,431.56,Café Coffee Day,2024-11-17
TXN_000135,302.43,Indian Oil Petrol Pump,2024-11-18
TXN_000136,483.3,Flipkart,2024-11-17
TXN_000137,90.48,Indian Oil Petrol Pump,2024-11-18
TXN_000138,34.06,Flipkart,2024-11-18
TXN_000139,39.64,Uber,2024-11-16
TXN_000140,458.57,Netflix India,2024-11-18
TXN_000141,283.68,Uber,2024-11-17
TXN_000142,44.74,Flipkart,2024-11-18
TXN_000143,282.27,Amazon India,2024-11-16
TXN_000144,307.36,Uber,2024-11-17
TXN_000145,21.69,PVR Cinemas,2024-11-16
TXN_000146,498.74,Netflix India,2024-11-17
TXN_000147,33.02,MakeMyTrip,2024-11-17
TXN_000148,317.83,Netflix India,2024-11-18
TXN_000149,20.75,Netflix India,2024-11-18
TXN_000150,195.38,Uber,2024-11-18
TXN_000151,274.26,Flipkart,2024-11-17
TXN_000152,494.33,Flipkart,2024-11-17
TXN_000153,11.04,Uber,2024-11-17
TXN_000154,62.6,Uber,2024-11-16
TXN_000155,346.38,Uber,2024-11-18
TXN_000156,207.78,Blue Tokai Coffee,2024-11-17
TXN_000157,466.8,Flipkart,2024-11-18
TXN_000158,229.41,DMart,2024-11-18
TXN_000159,370.14,PVR Cinemas,2024-11-16
TXN_000160,22.09,PVR Cinemas,2024-11-18
TXN_000161,268.08,DMart,2024-11-18
TXN_000162,16.68,Blue Tokai Coffee,2024-11-18
TXN_000163,158.15,Netflix India,2024-11-17
TXN_000164,315.4,Uber,2024-11-18
TXN_000165,341.97,PVR Cinemas,2024-11-18
TXN_000166,309.53,Netflix India,2024-11-18
TXN_000167,354.2,Flipkart,2024-11-17
TXN_000168,348.81,Blue Tokai Coffee,2024-11-17
TXN_000169,104.87,Uber,2024-11-17
TXN_000170,313.16,Flipkart,2024-11-16
TXN_000171,274.85,Uber,2024-11-16
TXN_000172,73.7,Flipkart,2024-11-16
TXN_000173,423.87,Indian Oil Petrol Pump,2024-11-18
TXN_000174,151.9,PVR Cinemas,2024-11-16
TXN_000175,398.31,DMart,2024-11-18
TXN_000176,163.02,PVR Cinemas,2024-11-18
TXN_000177,196.39,Netflix India,2024-11-18
TXN_000178,337.86,Blue Tokai Coffee,2024-11-16
TXN_000179,112.43,Amazon India,2024-11-16
TXN_000180,329.97,Amazon India,2024-11-17
TXN_000181,8.12,Amazon India,2024-11-16
TXN_000182,224.23,BookMyShow,2024-11-17
TXN_000183,283.45,MakeMyTrip,2024-11-18
TXN_000184,82.01,BookMyShow,2024-11-17
TXN_000185,217.67,Amazon India,2024-11-18
TXN_000187,35.8,Indian Oil Petrol Pump,2024-11-18
TXN_000188,241.19,MakeMyTrip,2024-11-17
TXN_000189,245.09,Indian Oil Petrol Pump,2024-11-18
TXN_000190,208.63,DMart,2024-11-18
TXN_000191,27.08,Flipkart,2024-11-17
TXN_000192,221.09,Café Coffee Day,2024-11-17
TXN_000193,25.31,Uber,2024-11-17
TXN_000194,141.66,Flipkart,2024-11-16
TXN_000195,371.25,BookMyShow,2024-11-18
TXN_000196,34.01,MakeMyTrip,2024-11-16
TXN_000197,256.35,Blue Tokai Coffee,2024-11-16
TXN_000198,416.41,Flipkart,2024-11-17
TXN_000199,296.38,Amazon India,2024-11-17
TXN_000200,286.13,Blue Tokai Coffee,2024-11-18
TXN_000201,175.6,Blue Tokai Coffee,2024-11-18
TXN_000202,338.36,Uber,2024-11-17
TXN_000203,312.57,Amazon India,2024-11-16
TXN_000204,471.79,Uber,2024-11-17
TXN_000205,136.58,Flipkart,2024-11-16
TXN_000206,478.06,BookMyShow,2024-11-18
TXN_000207,364.04,Netflix India,2024-11-16
TXN_000208,457.05,Uber,2024-11-18
TXN_000209,47.09,Amazon India,2024-11-18
TXN_000210,10.41,DMart,2024-11-16
TXN_000211,433.26,Netflix India,2024-11-17
TXN_000212,266.31,BookMyShow,2024-11-17
TXN_000213,178.89,MakeMyTrip,2024-11-18
TXN_000214,479.78,MakeMyTrip,2024-11-17
TXN_000215,288.85,BookMyShow,2024-11-18
TXN_000216,339.55,BookMyShow,2024-11-16
TXN_000217,249.83,Flipkart,2024-11-17
TXN_000218,399.66,Flipkart,2024-11-16
TXN_000219,142.42,Uber,2024-11-17
TXN_000220,96.47,Café Coffee Day,2024-11-18
TXN_000221,173.43,Indian Oil Petrol Pump,2024-11-16
TXN_000222,365.11,PVR Cinemas,2024-11-16
TXN_000223,143.74,Uber,2024-11-16
TXN_000225,163.93,DMart,2024-11-18
TXN_000226,364.85,Amazon India,2024-11-16
TXN_000227,231.82,BookMyShow,2024-11-16
TXN_000228,116.65,Amazon India,2024-11-16
TXN_000230,308.67,MakeMyTrip,2024-11-16
TXN_000231,448.56,Blue Tokai Coffee,2024-11-17
TXN_000232,224.91,Uber,2024-11-17
TXN_000233,259.87,Uber,2024-11-18
TXN_000234,59.65,Uber,2024-11-18
TXN_000235,366.53,MakeMyTrip,2024-11-16
TXN_000236,112.13,MakeMyTrip,2024-11-17
TXN_000237,164.65,Café Coffee Day,2024-11-17
UNKNOWN_105638,72.32,BookMyShow,2024-11-18
TXN_000239,446.21,Amazon India,2024-11-17
TXN_000240,185.73,PVR Cinemas,2024-11-18
UNKNOWN_206946,18.31,Amazon India,2024-11-18
TXN_000242,18.25,Netflix India,2024-11-18
TXN_000243,181.83,Flipkart,2024-11-17
TXN_000244,74.11,PVR Cinemas,2024-11-17
TXN_000245,358.81,Indian Oil Petrol Pump,2024-11-18
TXN_000246,415.65,PVR Cinemas,2024-11-17
TXN_000247,346.22,Blue Tokai Coffee,2024-11-16
TXN_000248,490.94,Café Coffee Day,2024-11-16
TXN_000249,285.54,DMart,2024-11-16
TXN_000251,273.71,BookMyShow,2024-11-17
TXN_000252,451.84,Café Coffee Day,2024-11-18
TXN_000253,229.62,Flipkart,2024-11-18
TXN_000254,313.59,Café Coffee Day,2024-11-16
TXN_000255,134.07,Flipkart,2024-11-17
TXN_000257,386.01,Flipkart,2024-11-18
TXN_000258,299.29,PVR Cinemas,2024-11-17
TXN_000259,360.44,BookMyShow,2024-11-16
TXN_000260,349.27,BookMyShow,2024-11-18
TXN_000261,418.95,MakeMyTrip,2024-11-18
TXN_000262,392.85,Flipkart,2024-11-16
UNKNOWN_112526,213.3,Indian Oil Petrol Pump,2024-11-18
TXN_000264,358.01,MakeMyTrip,2024-11-17
TXN_000265,17.87,Café Coffee Day,2024-11-16
TXN_000266,371.86,Netflix India,2024-11-16
TXN_000267,307.99,Café Coffee Day,2024-11-16
TXN_000268,366.39,Indian Oil Petrol Pump,2024-11-18
TXN_000269,198.27,Café Coffee Day,2024-11-18
TXN_000270,195.56,Blue Tokai Coffee,2024-11-18
UNKNOWN_976368,382.81,DMart,2024-11-18
TXN_000272,35.55,Netflix India,2024-11-16
TXN_000273,360.64,Indian Oil Petrol Pump,2024-11-16
TXN_000275,306.38,PVR Cinemas,2024-11-16
UNKNOWN_325190,102.99,Amazon India,2024-11-18
TXN_000277,268.72,Blue Tokai Coffee,2024-11-16
TXN_000278,467.07,Amazon India,2024-11-18
TXN_000279,314.55,Blue Tokai Coffee,2024-11-18
TXN_000280,402.44,BookMyShow,2024-11-16
TXN_000281,213.53,Blue Tokai Coffee,2024-11-16
TXN_000282,103.81,Blue Tokai Coffee,2024-11-16
TXN_000283,444.85,Blue Tokai Coffee,2024-11-17
TXN_000284,309.38,Café Coffee Day,2024-11-16
TXN_000285,200.12,DMart,2024-11-17
TXN_000286,465.64,Blue Tokai Coffee,2024-11-16
TXN_000287,69.2,Flipkart,2024-11-16
TXN_000288,14.47,Uber,2024-11-16
TXN_000289,108.19,MakeMyTrip,2024-11-18
TXN_000290,205.05,Flipkart,2024-11-18
UNKNOWN_855855,26.46,Indian Oil Petrol Pump,2024-11-18
TXN_000292,21.14,DMart,2024-11-18
TXN_000293,426.31,DMart,2024-11-18
TXN_000294,208.58,BookMyShow,2024-11-18
TXN_000295,342.81,Netflix India,2024-11-17
TXN_000296,414.54,BookMyShow,2024-11-18
TXN_000297,313.23,Blue Tokai Coffee,2024-11-17
TXN_000298,407.6,BookMyShow,2024-11-17
TXN_000299,176.24,Blue Tokai Coffee,2024-11-17
TXN_000300,248.98,BookMyShow,2024-11-17
TXN_000301,258.44,BookMyShow,2024-11-18
TXN_000302,477.26,PVR Cinemas,2024-11-18
TXN_000303,92.26,BookMyShow,2024-11-18
TXN_000304,171.2,Flipkart,2024-11-17
TXN_000305,403.12,Blue Tokai Coffee,2024-11-16
TXN_000306,443.02,Flipkart,2024-11-16
TXN_000307,70.76,Indian Oil Petrol Pump,2024-11-16
TXN_000308,422.89,BookMyShow,2024-11-16
TXN_000309,61.17,Uber,2024-11-16
TXN_000310,333.77,Amazon India,2024-11-17
TXN_000311,350.4,Blue Tokai Coffee,2024-11-16
TXN_000312,387.38,Café Coffee Day,2024-11-17
TXN_000313,143.71,MakeMyTrip,2024-11-16
TXN_000314,119.35,Amazon India,2024-11-16
TXN_000315,119.44,Café Coffee Day,2024-11-17
TXN_000316,227.97,Blue Tokai Coffee,2024-11-17
TXN_000317,414.52,Netflix India,2024-11-17
TXN_000318,316.36,Uber,2024-11-16
TXN_000319,197.96,Indian Oil Petrol Pump,2024-11-16
TXN_000320,383.52,DMart,2024-11-17
TXN_000321,457.15,Flipkart,2024-11-17
TXN_000322,262.23,Flipkart,2024-11-18
TXN_000323,161.68,Flipkart,2024-11-16
TXN_000324,167.87,Café Coffee Day,2024-11-17
TXN_000325,488.69,Blue Tokai Coffee,2024-11-18
TXN_000326,176.47,Netflix India,2024-11-18
TXN_000327,425.25,MakeMyTrip,2024-11-16
TXN_000328,417.74,Flipkart,2024-11-17
TXN_000329,258.53,BookMyShow,2024-11-16
TXN_000330,256.79,Netflix India,2024-11-17
UNKNOWN_642103,259.42,MakeMyTrip,2024-11-18
TXN_000332,320.28,MakeMyTrip,2024-11-17
TXN_000333,334.43,PVR Cinemas,2024-11-18
TXN_000334,314.66,Indian Oil Petrol Pump,2024-11-18
TXN_000336,498.55,PVR Cinemas,2024-11-16
TXN_000337,301.85,Café Coffee Day,2024-11-17
TXN_000339,44.38,Blue Tokai Coffee,2024-11-18
TXN_000340,7.04,Blue Tokai Coffee,2024-11-18
TXN_000341,406.38,Café Coffee Day,2024-11-16
TXN_000342,213.46,Flipkart,2024-11-17
TXN_000343,428.34,Blue Tokai Coffee,2024-11-17
TXN_000344,294.61,PVR Cinemas,2024-11-18
TXN_000345,422.65,Indian Oil Petrol Pump,2024-11-17
TXN_000346,468.93,PVR Cinemas,2024-11-18
TXN_000347,125.82,Flipkart,2024-11-16
TXN_000348,111.29,Uber,2024-11-16
TXN_000349,52.04,Indian Oil Petrol Pump,2024-11-18
TXN_000350,191.6,Amazon India,2024-11-17
TXN_000351,467.31,Amazon India,2024-11-17
TXN_000352,108.89,MakeMyTrip,2024-11-17
TXN_000354,338.95,BookMyShow,2024-11-17
TXN_000355,349.31,MakeMyTrip,2024-11-18
TXN_000357,163.66,Blue Tokai Coffee,2024-11-18
TXN_000358,376.16,PVR Cinemas,2024-11-17
TXN_000359,195.23,Café Coffee Day,2024-11-17
TXN_000360,453.04,MakeMyTrip,2024-11-18
TXN_000361,200.71,Café Coffee Day,2024-11-16
TXN_000362,331.99,Uber,2024-11-17
TXN_000364,255.19,Flipkart,2024-11-18
TXN_000365,388.54,PVR Cinemas,2024-11-18
TXN_000367,383.45,Amazon India,2024-11-16
TXN_000368,432.61,Netflix India,2024-11-17
TXN_000369,436.33,DMart,2024-11-18
TXN_000370,376.96,Flipkart,2024-11-16
TXN_000371,115.38,Blue Tokai Coffee,2024-11-18
TXN_000372,54.92,Indian Oil Petrol Pump,2024-11-17
TXN_000373,215.53,Blue Tokai Coffee,2024-11-18
TXN_000374,172.56,Café Coffee Day,2024-11-17
TXN_000375,356.44,MakeMyTrip,2024-11-18
TXN_000376,140.6,Uber,2024-11-18
TXN_000377,164.05,Uber,2024-11-18
UNKNOWN_855083,41.93,PVR Cinemas,2024-11-18
TXN_000379,366.17,DMart,2024-11-16
TXN_000380,460.77,Indian Oil Petrol Pump,2024-11-18
TXN_000381,238.97,Indian Oil Petrol Pump,2024-11-17
TXN_000382,25.91,Café Coffee Day,2024-11-17
TXN_000383,42.84,Café Coffee Day,2024-11-16
TXN_000384,376.89,PVR Cinemas,2024-11-18
TXN_000385,345.27,DMart,2024-11-18
TXN_000386,254.27,Netflix India,2024-11-16
TXN_000387,380.99,MakeMyTrip,2024-11-17
TXN_000388,497.57,Uber,2024-11-16
TXN_000389,194.86,BookMyShow,2024-11-18
TXN_000390,314.23,DMart,2024-11-18
TXN_000391,294.72,Blue Tokai Coffee,2024-11-16
TXN_000392,435.97,Uber,2024-11-18
TXN_000393,233.51,PVR Cinemas,2024-11-16
TXN_000394,437.79,Café Coffee Day,2024-11-17
TXN_000395,104.56,Amazon India,2024-11-17
TXN_000396,404.34,Netflix India,2024-11-17
TXN_000397,144.35,Netflix India,2024-11-16
TXN_000398,271.06,DMart,2024-11-18
TXN_000399,354.73,Blue Tokai Coffee,2024-11-17
TXN_000400,150.5,Uber,2024-11-18
TXN_000401,459.82,Netflix India,2024-11-16
TXN_000402,208.05,DMart,2024-11-17
TXN_000403,45.7,Indian Oil Petrol Pump,2024-11-16
TXN_000404,250.26,Indian Oil Petrol Pump,2024-11-16
TXN_000405,88.57,BookMyShow,2024-11-18
TXN_000406,213.56,BookMyShow,2024-11-17
TXN_000407,286.75,BookMyShow,2024-11-17
TXN_000408,498.27,Netflix India,2024-11-16
TXN_000409,234.19,BookMyShow,2024-11-16
TXN_000410,181.33,Indian Oil Petrol Pump,2024-11-18
TXN_000411,140.9,Amazon India,2024-11-17
TXN_000412,163.55,DMart,2024-11-18
TXN_000413,81.77,Amazon India,2024-11-16
TXN_000414,120.57,Blue Tokai Coffee,2024-11-16
TXN_000415,294.24,Amazon India,2024-11-17
TXN_000416,49.93,DMart,2024-11-18
TXN_000417,432.3,Amazon India,2024-11-16
TXN_000418,41.2,Netflix India,2024-11-17
TXN_000420,549.38,Uber,2024-11-17
TXN_000421,52.44,MakeMyTrip,2024-11-18
UNKNOWN_489229,165.48,Flipkart,2024-11-18
TXN_000423,51.99,PVR Cinemas,2024-11-18
TXN_000424,375.13,PVR Cinemas,2024-11-18
TXN_000425,303.23,MakeMyTrip,2024-11-18
TXN_000426,312.61,BookMyShow,2024-11-17
TXN_000427,14.41,Netflix India,2024-11-17
TXN_000428,113.39,DMart,2024-11-17
TXN_000429,72.27,PVR Cinemas,2024-11-18
TXN_000430,68.32,Flipkart,2024-11-17
TXN_000431,135.88,Amazon India,2024-11-17
TXN_000432,359.4,Amazon India,2024-11-17
TXN_000433,304.75,DMart,2024-11-17
TXN_000434,151.52,Uber,2024-11-18
TXN_000435,431.94,Netflix India,2024-11-16
TXN_000436,235.19,BookMyShow,2024-11-18
TXN_000437,367.5,MakeMyTrip,2024-11-18
TXN_000438,238.61,MakeMyTrip,2024-11-17
TXN_000439,209.57,Netflix India,2024-11-18
TXN_000440,469.5,Amazon India,2024-11-16
TXN_000441,297.4,BookMyShow,2024-11-17
TXN_000442,175.93,BookMyShow,2024-11-17
TXN_000443,254.64,Indian Oil Petrol Pump,2024-11-18
TXN_000444,220.48,DMart,2024-11-17
TXN_000445,134.17,Café Coffee Day,2024-11-17
TXN_000446,416.48,PVR Cinemas,2024-11-18
TXN_000447,355.72,Indian Oil Petrol Pump,2024-11-16
UNKNOWN_282620,296.12,Amazon India,2024-11-18
TXN_000449,292.78,Flipkart,2024-11-16
TXN_000450,209.63,DMart,2024-11-18
TXN_000451,43.22,MakeMyTrip,2024-11-17
TXN_000452,92.02,DMart,2024-11-18
TXN_000453,423.53,Flipkart,2024-11-18
TXN_000454,104.47,Amazon India,2024-11-17
TXN_000455,299.36,Flipkart,2024-11-16
TXN_000456,140.19,Indian Oil Petrol Pump,2024-11-18
TXN_000457,43.63,Flipkart,2024-11-17
TXN_000458,106.19,DMart,2024-11-18
TXN_000459,139.02,Flipkart,2024-11-18
TXN_000460,407.12,Flipkart,2024-11-18
TXN_000461,446.02,Flipkart,2024-11-18
TXN_000462,293.71,DMart,2024-11-18
TXN_000463,162.33,DMart,2024-11-17
TXN_000464,84.56,BookMyShow,2024-11-17
TXN_000465,198.24,MakeMyTrip,2024-11-16
TXN_000467,268.13,Netflix India,2024-11-18
TXN_000468,297.16,Café Coffee Day,2024-11-18
TXN_000469,72.9,Blue Tokai Coffee,2024-11-17
TXN_000470,214.7,Café Coffee Day,2024-11-18
TXN_000471,99.83,BookMyShow,2024-11-17
TXN_000472,386.22,BookMyShow,2024-11-18
TXN_000474,311.22,Uber,2024-11-17
TXN_000475,29.11,PVR Cinemas,2024-11-16
TXN_000476,46.29,Blue Tokai Coffee,2024-11-17
TXN_000477,499.27,BookMyShow,2024-11-17
TXN_000478,262.17,DMart,2024-11-16
TXN_000480,344.02,Indian Oil Petrol Pump,2024-11-17
TXN_000481,430.68,Netflix India,2024-11-16
UNKNOWN_665877,15.51,Blue Tokai Coffee,2024-11-18
TXN_000483,16.94,BookMyShow,2024-11-18
UNKNOWN_938484,271.76,Flipkart,2024-11-18
TXN_000485,257.71,BookMyShow,2024-11-17
TXN_000486,451.35,Uber,2024-11-16
TXN_000487,91.37,Amazon India,2024-11-16
UNKNOWN_832090,438.29,PVR Cinemas,2024-11-18
TXN_000489,456.95,PVR Cinemas,2024-11-17
TXN_000490,354.1,Flipkart,2024-11-16
UNKNOWN_838765,296.34,DMart,2024-11-18
TXN_000494,98.2,Uber,2024-11-18
TXN_000495,389.77,Uber,2024-11-17
TXN_000496,396.86,PVR Cinemas,2024-11-18
TXN_000497,182.51,Blue Tokai Coffee,2024-11-16
TXN_000498,179.86,Café Coffee Day,2024-11-17
TXN_000499,421.73,Flipkart,2024-11-17
UNKNOWN_394554,350.76,Indian Oil Petrol Pump,2024-11-18
TXN_000501,67.23,Amazon India,2024-11-16
TXN_000502,456.16,Café Coffee Day,2024-11-17
TXN_000503,165.75,BookMyShow,2024-11-16
TXN_000504,102.29,Uber,2024-11-16
TXN_000505,73.56,BookMyShow,2024-11-18
TXN_000506,244.14,Indian Oil Petrol Pump,2024-11-17
TXN_000507,292.09,DMart,2024-11-16
TXN_000508,221.35,DMart,2024-11-16
TXN_000509,216.84,PVR Cinemas,2024-11-16
TXN_000510,161.79,Flipkart,2024-11-17
TXN_000511,211.41,Blue Tokai Coffee,2024-11-17
TXN_000512,327.07,DMart,2024-11-18
TXN_000513,182.87,Amazon India,2024-11-17
TXN_000514,267.98,PVR Cinemas,2024-11-18
TXN_000515,57.01,Amazon India,2024-11-17
TXN_000516,400.82,DMart,2024-11-18
UNKNOWN_249353,216.4,Blue Tokai Coffee,2024-11-18
TXN_000518,71.94,Indian Oil Petrol Pump,2024-11-18
TXN_000519,101.38,Flipkart,2024-11-16
TXN_000520,499.76,Uber,2024-11-18
TXN_000521,374.11,Indian Oil Petrol Pump,2024-11-18
TXN_000522,166.69,Blue Tokai Coffee,2024-11-16
TXN_000523,308.26,Flipkart,2024-11-17
TXN_000524,417.5,Café Coffee Day,2024-11-17
TXN_000525,306.03,Blue Tokai Coffee,2024-11-18
TXN_000526,414.82,DMart,2024-11-16
TXN_000527,309.62,Indian Oil Petrol Pump,2024-11-16
UNKNOWN_431483,332.9,Netflix India,2024-11-18
TXN_000529,130.39,DMart,2024-11-17
TXN_000530,133.2,Blue Tokai Coffee,2024-11-16
TXN_000531,184.13,Indian Oil Petrol Pump,2024-11-16
TXN_000532,244.87,Netflix India,2024-11-17
TXN_000533,417.49,PVR Cinemas,2024-11-16
TXN_000534,402.63,Flipkart,2024-11-17
TXN_000535,136.12,Uber,2024-11-17
TXN_000536,201.87,Amazon India,2024-11-16
TXN_000537,174.71,BookMyShow,2024-11-16
TXN_000538,336.69,Netflix India,2024-11-16
TXN_000539,422.89,Blue Tokai Coffee,2024-11-18
TXN_000540,252.15,MakeMyTrip,2024-11-18
TXN_000541,381.92,Uber,2024-11-16
TXN_000542,55.04,Uber,2024-11-16
TXN_000543,106.08,Uber,2024-11-17
UNKNOWN_527089,280.15,BookMyShow,2024-11-18
TXN_000545,209.53,Uber,2024-11-18
TXN_000546,483.95,Netflix India,2024-11-17
TXN_000547,219.43,BookMyShow,2024-11-16
TXN_000548,151.2,Flipkart,2024-11-16
TXN_000549,368.84,Uber,2024-11-16
TXN_000550,47.16,Blue Tokai Coffee,2024-11-16
TXN_000551,178.86,Blue Tokai Coffee,2024-11-16
TXN_000552,30.58,Uber,2024-11-16
TXN_000553,448.22,BookMyShow,2024-11-18
TXN_000554,480.89,Amazon India,2024-11-18
TXN_000555,90.32,Blue Tokai Coffee,2024-11-17
TXN_000556,95.57,PVR Cinemas,2024-11-17
TXN_000557,420.6,BookMyShow,2024-11-18
TXN_000558,261.67,Flipkart,2024-11-18
TXN_000559,449.47,DMart,2024-11-17
TXN_000560,67.92,Blue Tokai Coffee,2024-11-16
TXN_000561,255.79,DMart,2024-11-17
TXN_000562,461.82,Indian Oil Petrol Pump,2024-11-17
TXN_000563,256.09,Netflix India,2024-11-16
TXN_000564,219.13,DMart,2024-11-17
